 I4426 : 47772 : 49092.99721666828 : 1320.9972166682778 
 I4499 : 36386 : 35580.09549783066 : -805.9045021693355 
 I7102 : 45256 : 44955.0150959159 : -300.9849040841005 
 I4432 : 47759 : 46968.76060396431 : -790.2393960356934 
 I4440 : 41820 : 41561.39809631639 : -258.6019036836075 
 I277 : 34042 : 34421.57368736525 : 379.57368736525234 
 I7062 : 48628 : 48428.12474525655 : -199.8752547434455 
 I84 : 36475 : 36932.027712168 : 457.02771216799675 
 I4940 : 47640 : 49362.47796492466 : 1722.4779649246623 
 I265 : 45182 : 45150.22138288323 : -31.778617116765552 
 I7082 : 42557 : 42844.76997561741 : 287.76997561740814 
 I4502 : 36492 : 37192.446344202945 : 700.4463442029448 
 I4438 : 48944 : 49089.97176025258 : 145.97176025257758 
 I161 : 36856 : 37704.043280494174 : 848.0432804941745 
 I4436 : 47050 : 46802.73727216116 : -247.2627278388424 
 I4434 : 47866 : 47329.57190431909 : -536.4280956809073 
 I4428 : 48193 : 48466.46686612207 : 273.4668661220747 
 I184 : 48258 : 49124.10064318311 : 866.1006431831128 
 I7092 : 47526 : 47347.599798935065 : -178.40020106493563 
 I3403 : 41380 : 41205.53157939736 : -174.46842060264623 
 I4404 : 45106 : 45180.353480176935 : 74.35348017693497 
 I180 : 48258 : 48122.92623316541 : -135.0737668345909 
 I17 : 43516 : 42196.94155271638 : -1319.058447283619 
 I168 : 36267 : 36916.17825644153 : 649.1782564415344 
 I3404 : 45106 : 45121.04823365682 : 15.048233656813528 
 I4937 : 35387 : 34616.85816054159 : -770.1418394584114 
 I7072 : 38749 : 38650.542510607425 : -98.4574893925718 
 I7112 : 46522 : 46657.58385571858 : 135.58385571857883 
 I197 : 36746 : 37143.76083081798 : 397.7608308179781 
 I4430 : 46590 : 46751.91036905416 : 161.91036905415754 
 I170 : 48572 : 49210.65021266171 : 638.6502126617104 
 I4414 : 41820 : 42558.55501102296 : 738.5550110229583 
 I188 : 46954 : 47044.79273769104 : 90.79273769103509 
 I4933 : 35782 : 36337.59330610576 : 555.5933061057618 
 I260 : 45182 : 45245.43028816088 : 63.43028816088261 
 I7062I4438 : 48529 : 53982.666376462876 : 5453.666376462876 
 I170I4438 : 48470 : 45355.42337004386 : -3114.576629956136 
 I180I4438 : 48156 : 83775.58650658347 : 35619.58650658347 
 I180I170 : 47917 : 45522.41614938303 : -2394.583850616968 
 I184I4438 : 48156 : 48181.261294654236 : 25.26129465423712 
 I184I170 : 47917 : 38084.99446297008 : -9832.005537029923 
 I184I7062 : 47843 : 41129.543606035186 : -6713.456393964815 
 I4428I180 : 47412 : 42642.80546838176 : -4769.194531618239 
