 I218 : 88598 
 I6 : 601374 
 I27 : 72134 
 I148 : 69922 
 I55 : 65412 
 I64 : 48262 
 I2 : 42927 
 I3 : 450031 
 I11 : 364065 
 I4 : 78097 
 I77 : 43454 
 I1 : 197522 
 I7 : 86898 
 I3I6 : 265180 
 I11I6 : 324013 
 I11I3 : 161286 
 I1I6 : 132113 
 I1I11 : 91882 
 I1I3 : 84660 
 I218I6 : 77675 
 I218I11 : 61656 
 I7I6 : 73610 
 I7I11 : 57074 
 I4I6 : 45377 
 I27I6 : 59418 
 I27I11 : 46103 
 I27I7 : 40235 
 I148I6 : 64750 
 I148I218 : 58823 
 I148I11 : 55759 
 I64I6 : 39697 
 I11I3I6 : 143682 
 I1I11I6 : 86092 
 I1I3I6 : 57802 
 I218I11I6 : 60630 
 I7I11I6 : 55835 
 I27I11I6 : 44923 
 I148I218I6 : 56838 
 I148I11I6 : 55230 
