 I34 : 7914 
 I36 : 6812 
 I59 : 5176 
 I63 : 4936 
 I85 : 8124 
 I86 : 7924 
 I90 : 7488 
 I39 : 5612 
 I24 : 4748 
 I86I85 : 7924 
 I34I85 : 7914 
 I34I86 : 7906 
 I90I85 : 7488 
 I90I34 : 7296 
 I90I86 : 7288 
 I36I85 : 6812 
 I36I86 : 6620 
 I36I34 : 6602 
 I36I90 : 6464 
 I39I85 : 5612 
 I39I86 : 5420 
 I39I34 : 5402 
 I39I90 : 4976 
 I59I85 : 5176 
 I59I86 : 4984 
 I59I34 : 4984 
 I59I90 : 4736 
 I63I85 : 4936 
 I63I86 : 4744 
 I63I34 : 4744 
 I24I85 : 4748 
 I34I86I85 : 7906 
 I90I34I85 : 7296 
 I90I86I85 : 7288 
 I36I86I85 : 6620 
 I36I34I85 : 6602 
 I36I34I86 : 6602 
 I36I90I85 : 6464 
 I36I90I86 : 6272 
 I36I90I34 : 6272 
 I39I86I85 : 5420 
 I39I34I85 : 5402 
 I39I34I86 : 5402 
 I39I90I85 : 4976 
 I39I90I86 : 4784 
 I39I90I34 : 4784 
 I59I86I85 : 4984 
 I59I34I85 : 4984 
 I59I34I86 : 4984 
 I59I90I85 : 4736 
 I63I86I85 : 4744 
 I63I34I85 : 4744 
 I63I34I86 : 4744 
 I36I34I86I85 : 6602 
 I36I90I86I85 : 6272 
 I36I90I34I85 : 6272 
 I39I34I86I85 : 5402 
 I39I90I86I85 : 4784 
 I39I90I34I85 : 4784 
 I59I34I86I85 : 4984 
 I63I34I86I85 : 4744 
