1	0
1	1
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	11
1	12
1	13
2	1
2	3
2	8
2	9
2	10
2	14
2	15
2	16
2	17
2	18
2	19
2	20
2	21
2	22
2	23
2	24
2	25
2	26
2	27
2	28
2	29
2	30
2	31
2	32
2	33
2	34
2	35
2	36
2	37
2	38
2	39
2	40
2	41
2	42
2	43
2	44
2	45
2	46
2	47
2	48
2	49
2	50
2	51
2	52
2	53
2	54
2	55
2	56
2	57
2	58
2	59
3	1
3	3
3	8
3	11
3	35
3	59
3	60
3	61
3	62
3	63
4	1
4	3
4	8
4	28
4	35
4	59
4	64
4	65
4	66
4	67
4	68
4	69
5	11
5	30
5	62
5	70
5	71
5	72
5	73
6	3
6	9
6	33
6	42
6	72
6	74
6	75
7	8
7	72
7	76
8	2
8	9
8	26
8	30
8	35
8	53
8	61
8	72
8	77
9	72
9	78
10	3
10	24
10	33
10	72
10	79
11	3
11	9
11	30
11	42
11	65
11	80
11	81
12	3
12	9
12	10
12	35
12	42
12	43
12	72
12	74
12	82
12	83
12	84
13	8
13	9
13	11
13	33
13	35
13	36
13	37
13	61
13	74
13	85
13	86
13	87
13	88
14	3
14	10
14	28
14	35
14	36
14	63
14	72
14	89
15	1
15	3
15	9
15	10
15	33
15	42
15	53
15	62
15	72
15	74
15	81
15	90
15	91
15	92
15	93
16	3
16	8
16	9
16	30
16	37
16	42
16	47
16	59
16	74
16	81
16	94
16	95
16	96
17	33
17	34
17	37
17	65
17	72
17	95
18	1
18	3
18	9
18	11
18	16
18	18
18	30
18	42
18	59
18	65
18	78
18	86
18	96
18	97
18	98
18	99
18	100
18	101
18	102
18	103
18	104
18	105
19	3
19	14
19	30
19	37
19	74
19	86
19	92
19	106
20	1
20	3
20	9
20	30
20	34
20	35
20	55
20	60
20	94
20	107
20	108
